appid,maxccu,success_class,suc_class,followers
1185270,4,F,0,15
1231180,2,F,0,92
1240600,2,F,0,25
1259160,2,F,0,251
1276090,1,F,0,61
1281100,1,F,0,23
1275880,2,F,0,40
1303000,2,F,0,30
1298700,2,F,0,16
871400,2,F,0,64
1300790,1,F,0,63
1335410,1,F,0,9
1357190,3,F,0,36
1397270,2,F,0,10
1392190,4,F,0,27
1424140,2,F,0,15
1423500,2,F,0,30
1429160,2,F,0,17
1439190,3,F,0,16
1379320,3,F,0,121
1494050,1,F,0,13
1502370,2,F,0,8
1505280,2,F,0,6
1350690,3,F,0,64
419450,3,F,0,113
446570,1,F,0,136
448140,2,F,0,43
605860,2,F,0,47
615390,2,F,0,27
517500,2,F,0,328
692630,1,F,0,68
664340,2,F,0,50
692170,2,F,0,170
663250,5,F,0,179
733230,2,F,0,235
720310,2,F,0,46
723020,4,F,0,254
786130,1,F,0,48
765370,2,F,0,154
815170,3,F,0,94
835440,2,F,0,204
837920,2,F,0,31
837810,2,F,0,119
843400,2,F,0,16
757500,3,F,0,0
859860,3,F,0,109
852860,1,F,0,21
868950,2,F,0,41
888400,7,F,0,98
908920,2,F,0,44
912120,1,F,0,40
929610,1,F,0,25
950950,2,F,0,40
955620,1,F,0,21
955290,3,F,0,31
661190,1,F,0,59
968590,1,F,0,33
970680,2,F,0,24
1009230,2,F,0,23
1017360,2,F,0,18
623820,6,F,0,112
939810,2,F,0,251
1081720,2,F,0,11
1083000,5,F,0,35
1095650,2,F,0,52
1073020,4,F,0,418
1109980,1,F,0,37
1111880,1,F,0,28
1140930,2,F,0,10
941710,1,F,0,17
1150580,3,F,0,44
1161820,2,F,0,54
1195550,2,F,0,37
935680,2,F,0,42
1195820,2,F,0,67
1212470,1,F,0,19
1135120,3,F,0,24
1135100,1,F,0,18
1224720,1,F,0,16
1219520,1,F,0,18
1235310,3,F,0,35
1247040,2,F,0,55
1232370,1,F,0,14
1285930,1,F,0,18
1274960,1,F,0,40
1297770,1,F,0,52
